Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A745074,,03/12/2017 01:27:00 PM,03/12/2017 01:27:00 PM,4516 Turnstone in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Collie Rough Mix,Brown/Black,,03/13/2017 02:56:00 PM,03/13/2017 02:56:00 PM,01/28/2017,Dog,Intact Female,1 month,Collie Rough Mix,Brown/Black,0.0
A725616,*Ash,04/30/2016 05:22:00 PM,04/30/2016 05:22:00 PM,S Hwy 183 And Thompson Ln in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Rottweiler Mix,Black/Brown,*Ash,05/13/2016 06:49:00 PM,05/13/2016 06:49:00 PM,05/01/2014,Dog,Neutered Male,2 years,Rottweiler Mix,Black/Brown,0.0
A726671,,05/13/2016 08:57:00 AM,05/13/2016 08:57:00 AM,Travis (TX),Stray,Normal,Dog,Intact Male,3 weeks,Great Pyrenees Mix,White,,05/13/2016 12:53:00 PM,05/13/2016 12:53:00 PM,04/21/2016,Dog,Intact Male,3 weeks,Great Pyrenees Mix,White,0.0
A759730,*Sunshine,10/06/2017 04:40:00 PM,10/06/2017 04:40:00 PM,806 Ramble Lane in Austin (TX),Stray,Normal,Cat,Spayed Female,10 years,Domestic Longhair Mix,Calico,*Sunshine,10/11/2017 02:24:00 PM,10/11/2017 02:24:00 PM,10/09/2007,Cat,Spayed Female,10 years,Domestic Longhair Mix,Calico,0.0
A718280,Baby,12/26/2015 04:48:00 PM,12/26/2015 04:48:00 PM,2400 E Mlk Dr in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Mastiff Mix,Brown Brindle,Baby,12/30/2015 03:09:00 PM,12/30/2015 03:09:00 PM,03/25/2011,Dog,Intact Female,4 years,Mastiff Mix,Brown Brindle,0.0
A748026,*Denali,05/10/2017 12:55:00 PM,05/10/2017 12:55:00 PM,3109 Darnell Dr in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Great Pyrenees Mix,White,*Denali,05/30/2017 07:22:00 AM,05/30/2017 07:22:00 AM,05/02/2016,Dog,Neutered Male,1 year,Great Pyrenees Mix,White,0.0
A712316,,09/21/2015 01:47:00 PM,09/21/2015 01:47:00 PM,7301 Rhett Pl in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Tortie,,09/22/2015 11:16:00 AM,09/22/2015 11:16:00 AM,09/06/2015,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Tortie,0.0
A706506,,06/29/2015 05:04:00 PM,06/29/2015 05:04:00 PM,5306  Peppertree in Austin (TX),Stray,Normal,Cat,Unknown,4 days,Domestic Shorthair Mix,Black,,06/30/2015 12:17:00 PM,06/30/2015 12:17:00 PM,06/25/2015,Cat,Unknown,5 days,Domestic Shorthair Mix,Black,0.0
A756105,,08/14/2017 02:07:00 PM,08/14/2017 02:07:00 PM,11923 Us Hwy 290 E in Manor (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Brown/Tan,,08/17/2017 12:00:00 AM,08/17/2017 12:00:00 AM,07/05/2017,Dog,Intact Male,1 month,Labrador Retriever Mix,Brown/Tan,0.0
A732939,*Hans,08/15/2016 11:46:00 AM,08/15/2016 11:46:00 AM,10300 Stubble Quail Dr in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,American Bulldog Mix,Fawn/White,*Hans,09/12/2016 05:41:00 PM,09/12/2016 05:41:00 PM,02/18/2015,Dog,Neutered Male,1 year,American Bulldog Mix,Fawn/White,0.0
A671994,Lola,02/02/2014 11:16:00 AM,02/02/2014 11:16:00 AM,Haney Dr And Brunswich in Austin (TX),Stray,Normal,Dog,Spayed Female,11 years,Golden Retriever Mix,Gold,Lola,02/02/2014 12:27:00 PM,02/02/2014 12:27:00 PM,02/02/2003,Dog,Spayed Female,11 years,Golden Retriever Mix,Gold,0.0
A766107,,02/01/2018 05:20:00 PM,02/01/2018 05:20:00 PM,11807 Navasota Street in Manor (TX),Stray,Normal,Cat,Intact Male,7 months,Domestic Shorthair Mix,Orange Tabby,,02/05/2018 07:02:00 PM,02/05/2018 07:02:00 PM,07/01/2017,Cat,Intact Male,7 months,Domestic Shorthair Mix,Orange Tabby,0.0
A674993,Chia,03/21/2014 11:27:00 AM,03/21/2014 11:27:00 AM,4611 Dove Springs in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 months,Siamese Mix,Seal Point,Chia,03/23/2014 06:53:00 PM,03/23/2014 06:53:00 PM,11/21/2013,Cat,Spayed Female,4 months,Siamese Mix,Seal Point,0.0
A671926,Velcro,02/01/2014 12:52:00 PM,02/01/2014 12:52:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,9 months,Domestic Shorthair Mix,Black,Velcro,02/05/2014 01:07:00 PM,02/05/2014 01:07:00 PM,04/16/2013,Cat,Neutered Male,9 months,Domestic Shorthair Mix,Black,0.0
A769194,Kc Cameron,04/01/2018 11:28:00 AM,04/01/2018 11:28:00 AM,Richardson And Felix in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Staffordshire Mix,Black/White,Kc Cameron,04/08/2018 03:30:00 PM,04/08/2018 03:30:00 PM,10/05/2017,Dog,Spayed Female,6 months,Staffordshire Mix,Black/White,0.0
A674561,*Gibson,03/15/2014 10:20:00 AM,03/15/2014 10:20:00 AM,Overbrook Drive & 51 St in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,American Staffordshire Terrier Mix,Red/White,*Gibson,10/27/2014 02:51:00 PM,10/27/2014 02:51:00 PM,09/15/2012,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Red/White,0.0
A731116,Loki,07/21/2016 05:53:00 PM,07/21/2016 05:53:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3 months,Pit Bull Mix,Tan/White,Loki,07/22/2016 01:45:00 PM,07/22/2016 01:45:00 PM,04/02/2016,Dog,Intact Male,3 months,Pit Bull Mix,Tan/White,0.0
A673835,,03/03/2014 01:46:00 PM,03/03/2014 01:46:00 PM,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue,,03/03/2014 03:55:00 PM,03/03/2014 03:55:00 PM,03/03/2012,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue,0.0
A662043,Holly,05/19/2015 02:55:00 PM,05/19/2015 02:55:00 PM,13101 Winding Creek  Rd in Travis (TX),Public Assist,Normal,Dog,Spayed Female,6 years,Labrador Retriever/Pit Bull,White/Tan,Holly,06/01/2015 11:42:00 AM,06/01/2015 11:42:00 AM,08/28/2008,Dog,Spayed Female,6 years,Labrador Retriever/Pit Bull,White/Tan,0.0
A679049,Pilot,05/15/2014 05:36:00 PM,05/15/2014 05:36:00 PM,1500 Crossing Pl in Austin (TX),Public Assist,Normal,Dog,Neutered Male,6 years,Labrador Retriever Mix,Yellow,Pilot,05/21/2014 02:41:00 PM,05/21/2014 02:41:00 PM,01/10/2008,Dog,Neutered Male,6 years,Labrador Retriever Mix,Yellow,0.0
A787559,Lady Bird,01/15/2019 03:01:00 PM,01/15/2019 03:01:00 PM,Gallant Street And Skysail Drive in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Bruss Griffon Mix,Brown,Lady Bird,01/22/2019 06:23:00 PM,01/22/2019 06:23:00 PM,09/07/2018,Dog,Spayed Female,4 months,Bruss Griffon Mix,Brown,0.0
A705138,*Abby,06/13/2015 04:15:00 PM,06/13/2015 04:15:00 PM,10721 N Platt River Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,*Abby,06/30/2015 02:51:00 PM,06/30/2015 02:51:00 PM,04/13/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A708666,Jax,07/30/2015 11:03:00 AM,07/30/2015 11:03:00 AM,10401 Weller Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,7 years,Russian Blue Mix,Blue,Jax,07/30/2015 02:30:00 PM,07/30/2015 02:30:00 PM,07/30/2008,Cat,Neutered Male,7 years,Russian Blue Mix,Blue,0.0
A710988,,08/31/2015 01:32:00 PM,08/31/2015 01:32:00 PM,12407 Mossy Bark Tr in Austin (TX),Stray,Normal,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,,09/01/2015 09:00:00 AM,09/01/2015 09:00:00 AM,08/31/2013,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,0.0
A722606,,03/19/2016 01:07:00 PM,03/19/2016 01:07:00 PM,Old Lockhart Rd in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red,,05/03/2016 02:24:00 PM,05/03/2016 02:24:00 PM,03/19/2015,Bird,Intact Male,1 year,Chicken Mix,Red,0.0
A678825,Oliver,05/13/2014 12:14:00 PM,05/13/2014 12:14:00 PM,21424 Ann Showers Dr in Travis (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White,Oliver,07/12/2014 12:10:00 PM,07/12/2014 12:10:00 PM,04/06/2014,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,0.0
A702237,Liam,05/14/2015 03:27:00 PM,05/14/2015 03:27:00 PM,E Stassney Ln & Ponciana Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Poodle Mix,White,Liam,05/18/2015 05:29:00 PM,05/18/2015 05:29:00 PM,05/11/2013,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,0.0
A677746,,04/28/2014 06:05:00 PM,04/28/2014 06:05:00 PM,5502 Bevin Cove in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Miniature Schnauzer Mix,White,,05/04/2014 03:05:00 PM,05/04/2014 03:05:00 PM,04/28/2010,Dog,Neutered Male,4 years,Miniature Schnauzer Mix,White,0.0
A688878,Jd,10/01/2014 10:19:00 AM,10/01/2014 10:19:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,Jd,10/03/2014 06:45:00 PM,10/03/2014 06:45:00 PM,07/31/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A640235,Lucy,07/28/2015 07:06:00 PM,07/28/2015 07:06:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,4 years,Miniature Poodle Mix,White,Lucy,07/30/2015 03:55:00 PM,07/30/2015 03:55:00 PM,07/28/2011,Dog,Spayed Female,4 years,Miniature Poodle Mix,White,0.0
A738751,,11/20/2016 12:14:00 PM,11/20/2016 12:14:00 PM,3102 Robinson Ave in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Cream Tabby,,11/21/2016 09:00:00 AM,11/21/2016 09:00:00 AM,11/20/2015,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby,0.0
A767839,Lilith,03/07/2018 03:52:00 PM,03/07/2018 03:52:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,8 months,Australian Cattle Dog Mix,Brown/White,Lilith,03/17/2018 04:23:00 PM,03/17/2018 04:23:00 PM,06/07/2017,Dog,Spayed Female,9 months,Australian Cattle Dog Mix,Brown/White,0.0
A699897,*Minka,04/04/2015 11:01:00 AM,04/04/2015 11:01:00 AM,Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby,*Minka,04/15/2015 06:15:00 PM,04/15/2015 06:15:00 PM,04/04/2013,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby,0.0
A687437,*Hal,09/04/2014 04:23:00 PM,09/04/2014 04:23:00 PM,13500 Lazyridge Dr in Pflugerville (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,*Hal,10/13/2014 05:32:00 PM,10/13/2014 05:32:00 PM,08/04/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0.0
A694406,Star,12/27/2014 03:56:00 PM,12/27/2014 03:56:00 PM,2414 Rockridge Dr in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Pit Bull Mix,Black/White,Star,01/01/2015 06:35:00 PM,01/01/2015 06:35:00 PM,12/27/2010,Dog,Intact Female,4 years,Pit Bull Mix,Black/White,0.0
A812783,Bella,01/28/2020 04:28:00 PM,01/28/2020 04:28:00 PM,8512 Clarewood Drive in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Bichon Frise,White,Bella,01/29/2020 01:15:00 PM,01/29/2020 01:15:00 PM,01/28/2018,Dog,Intact Female,2 years,Bichon Frise,White,0.0
A751495,,06/08/2017 06:50:00 PM,06/08/2017 06:50:00 PM,Henderson And West 9Th in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Plott Hound Mix,Brown Brindle/White,,06/12/2017 06:36:00 PM,06/12/2017 06:36:00 PM,03/28/2017,Dog,Spayed Female,2 months,Plott Hound Mix,Brown Brindle/White,0.0
A737952,*Betty,11/07/2016 12:46:00 PM,11/07/2016 12:46:00 PM,201 W. Benwhite Blvd in Austin (TX),Stray,Sick,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,*Betty,11/08/2016 03:56:00 PM,11/08/2016 03:56:00 PM,08/07/2016,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A743002,Dom,02/01/2017 04:20:00 PM,02/01/2017 04:20:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Beagle,Tan/White,Dom,02/03/2017 12:29:00 PM,02/03/2017 12:29:00 PM,08/01/2015,Dog,Neutered Male,1 year,Beagle,Tan/White,0.0
A790568,Princess Sox,03/12/2019 03:51:00 PM,03/12/2019 03:51:00 PM,Austin (TX),Owner Surrender,Sick,Dog,Intact Female,2 months,Miniature Poodle Mix,Black,Princess Sox,03/12/2019 06:20:00 PM,03/12/2019 06:20:00 PM,12/12/2018,Dog,Intact Female,2 months,Miniature Poodle Mix,Black,0.0
A742190,,01/17/2017 09:41:00 AM,01/17/2017 09:41:00 AM,6506 Bolm Rd in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Black/Brown,,01/17/2017 10:12:00 AM,01/17/2017 10:12:00 AM,01/17/2016,Other,Unknown,1 year,Bat,Black/Brown,1.0
A709611,*Darlingdear,08/11/2015 12:16:00 PM,08/11/2015 12:16:00 PM,Burton And Riverside in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Blue Lacy/Australian Kelpie,Black Brindle/White,*Darlingdear,08/21/2015 05:06:00 PM,08/21/2015 05:06:00 PM,06/23/2015,Dog,Intact Female,1 month,Blue Lacy/Australian Kelpie,Black Brindle/White,0.0
A726808,,05/14/2016 05:23:00 PM,05/14/2016 05:23:00 PM,124 W Anderson Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Boston Terrier/Chihuahua Shorthair,Black/Gray,,05/19/2016 01:16:00 PM,05/19/2016 01:16:00 PM,05/14/2014,Dog,Spayed Female,2 years,Boston Terrier/Chihuahua Shorthair,Black/Gray,0.0
A732994,*Sidney,10/17/2017 11:15:00 AM,10/17/2017 11:15:00 AM,1005 East Riverside Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue,*Sidney,10/19/2017 01:04:00 PM,10/19/2017 01:04:00 PM,05/03/2015,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue,0.0
A781566,,10/01/2018 04:32:00 PM,10/01/2018 04:32:00 PM,12835 Pond Springs Road in Austin (TX),Stray,Normal,Cat,Intact Male,8 months,Domestic Shorthair Mix,Brown Tabby/White,,10/04/2018 06:30:00 PM,10/04/2018 06:30:00 PM,01/01/2018,Cat,Intact Male,9 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A786564,*Halo,12/27/2018 04:23:00 PM,12/27/2018 04:23:00 PM,12300 Von Quintus Rd in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Great Pyrenees Mix,White,*Halo,01/11/2019 04:20:00 PM,01/11/2019 04:20:00 PM,12/27/2016,Dog,Spayed Female,2 years,Great Pyrenees Mix,White,0.0
A772224,,05/16/2018 12:15:00 PM,05/16/2018 12:15:00 PM,19512 Hogeye Rd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,,05/25/2018 06:07:00 PM,05/25/2018 06:07:00 PM,03/16/2018,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0.0
A758229,,09/13/2017 07:39:00 AM,09/13/2017 07:39:00 AM,Del Valle (TX),Stray,Nursing,Dog,Intact Female,1 day,Labrador Retriever Mix,Brown,,11/28/2017 08:47:00 AM,11/28/2017 08:47:00 AM,09/12/2017,Dog,Spayed Female,2 months,Labrador Retriever Mix,Brown,0.0
A737537,*Hank,10/31/2016 10:30:00 AM,10/31/2016 10:30:00 AM,5709 Abilene Trl in Austin (TX),Stray,Normal,Dog,Intact Male,11 months,Pit Bull Mix,Blue/White,*Hank,11/11/2016 12:42:00 PM,11/11/2016 12:42:00 PM,12/01/2015,Dog,Neutered Male,11 months,Pit Bull Mix,Blue/White,0.0
A678881,*Clancy,05/13/2014 05:32:00 PM,05/13/2014 05:32:00 PM,3505 Montopolis #8 in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Labrador Retriever/Collie Smooth,Black/White,*Clancy,07/13/2014 12:27:00 PM,07/13/2014 12:27:00 PM,11/13/2012,Dog,Neutered Male,1 year,Labrador Retriever/Collie Smooth,Black/White,0.0
A760796,,10/24/2017 11:39:00 AM,10/24/2017 11:39:00 AM,3520 Victorine Lane in Del Valle (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Black,,10/27/2017 07:43:00 PM,10/27/2017 07:43:00 PM,10/24/2016,Cat,Unknown,1 year,Domestic Shorthair Mix,Black,0.0
A674955,*Star,03/20/2014 04:26:00 PM,03/20/2014 04:26:00 PM,6713 Porter in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Jack Russell Terrier/Australian Cattle Dog,White/Black,*Star,03/28/2014 02:35:00 PM,03/28/2014 02:35:00 PM,04/20/2013,Dog,Intact Female,11 months,Jack Russell Terrier/Australian Cattle Dog,White/Black,0.0
A752146,*Biscuit,06/19/2017 11:00:00 AM,06/19/2017 11:00:00 AM,8312 Linden in Travis (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,*Biscuit,06/25/2017 12:36:00 PM,06/25/2017 12:36:00 PM,04/04/2017,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,1.0
A696877,*Rufus,02/13/2015 04:49:00 PM,02/13/2015 04:49:00 PM,18704 Dry Lake Ln in Pflugerville (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/White,*Rufus,03/11/2015 07:24:00 PM,03/11/2015 07:24:00 PM,02/13/2013,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/White,0.0
A716580,*Luna,11/21/2015 12:58:00 PM,11/21/2015 12:58:00 PM,Topper Lane in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Australian Kelpie Mix,Black,*Luna,12/26/2015 05:10:00 PM,12/26/2015 05:10:00 PM,11/21/2014,Dog,Spayed Female,1 year,Australian Kelpie Mix,Black,0.0
A685515,*Libby,08/08/2014 01:37:00 PM,08/08/2014 01:37:00 PM,North Lamar And Payton Gin in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Tan/White,*Libby,08/21/2014 12:32:00 PM,08/21/2014 12:32:00 PM,08/08/2009,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan/White,0.0
A769995,*Chunk,04/13/2018 07:01:00 PM,04/13/2018 07:01:00 PM,Stassney And Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Yorkshire Terrier/Norfolk Terrier,Tan,*Chunk,06/15/2018 10:19:00 AM,06/15/2018 10:19:00 AM,04/13/2018,Dog,Neutered Male,2 months,Yorkshire Terrier/Norfolk Terrier,Tan,0.0
A804332,*Tammi,09/13/2019 12:34:00 PM,09/13/2019 12:34:00 PM,32Nd And Walnut Avenue in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Tan/White,*Tammi,09/30/2019 04:02:00 PM,09/30/2019 04:02:00 PM,09/13/2017,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White,0.0
A754900,*Betsy,07/26/2017 12:34:00 PM,07/26/2017 12:34:00 PM,10500 Lakeline Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Rat Terrier/Dachshund,Tricolor,*Betsy,08/04/2017 04:05:00 PM,08/04/2017 04:05:00 PM,07/26/2012,Dog,Spayed Female,5 years,Rat Terrier/Dachshund,Tricolor,0.0
A703918,Pippa,05/30/2015 01:18:00 PM,05/30/2015 01:18:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,Pippa,06/08/2015 05:29:00 PM,06/08/2015 05:29:00 PM,04/06/2015,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A804748,,09/18/2019 02:12:00 PM,09/18/2019 02:12:00 PM,40 N I-35 in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,,09/18/2019 03:08:00 PM,09/18/2019 03:08:00 PM,09/18/2017,Other,Unknown,2 years,Bat,Brown,1.0
A723157,Redbone,03/27/2016 04:06:00 PM,03/27/2016 04:06:00 PM,Mt Bonnell Rd And Fall Trl in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Redbone Hound Mix,Red,Redbone,03/29/2016 05:48:00 PM,03/29/2016 05:48:00 PM,03/28/2015,Dog,Spayed Female,1 year,Redbone Hound Mix,Red,0.0
A690844,Pouncers,10/27/2014 09:58:00 AM,10/27/2014 09:58:00 AM,2008 Pompton in Austin (TX),Stray,Injured,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Tortie,Pouncers,10/27/2014 04:35:00 PM,10/27/2014 04:35:00 PM,10/27/2008,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Tortie,0.0
A786805,*Wallace,01/02/2019 11:53:00 AM,01/02/2019 11:53:00 AM,8600 North Fm 620 in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Chihuahua Shorthair Mix,Tan,*Wallace,02/03/2019 02:19:00 PM,02/03/2019 02:19:00 PM,01/02/2014,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan,0.0
A786056,,12/15/2018 04:54:00 PM,12/15/2018 04:54:00 PM,3102 Wickham Ln in Travis (TX),Stray,Sick,Dog,Intact Male,10 years,Chinese Sharpei Mix,Brown/White,,12/19/2018 10:52:00 AM,12/19/2018 10:52:00 AM,12/15/2008,Dog,Intact Male,10 years,Chinese Sharpei Mix,Brown/White,0.0
A800782,*Rex,07/26/2019 02:57:00 PM,07/26/2019 02:57:00 PM,1819 South Pleasant Valley Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/White,*Rex,08/04/2019 07:35:00 PM,08/04/2019 07:35:00 PM,06/08/2019,Dog,Neutered Male,1 month,Labrador Retriever Mix,Black/White,0.0
A699601,Remi,03/30/2015 02:39:00 PM,03/30/2015 02:39:00 PM,7100 N 35 in Austin (TX),Public Assist,Normal,Dog,Spayed Female,2 years,Basset Hound Mix,White/Brown,Remi,03/30/2015 12:00:00 AM,03/30/2015 12:00:00 AM,03/30/2013,Dog,Spayed Female,2 years,Basset Hound Mix,White/Brown,0.0
A702301,,05/12/2015 08:33:00 AM,05/12/2015 08:33:00 AM,12034 Research in Austin (TX),Stray,Injured,Cat,Intact Female,11 years,Domestic Medium Hair Mix,Black,,05/12/2015 05:37:00 PM,05/12/2015 05:37:00 PM,05/12/2004,Cat,Intact Female,11 years,Domestic Medium Hair Mix,Black,1.0
A764807,Athena,07/05/2019 04:35:00 PM,07/05/2019 04:35:00 PM,2215 Town Lake in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Labrador Retriever/Weimaraner,Buff,Athena,07/05/2019 05:47:00 PM,07/05/2019 05:47:00 PM,10/19/2017,Dog,Spayed Female,1 year,Labrador Retriever/Weimaraner,Buff,0.0
A755233,*Cheese,07/31/2017 01:33:00 PM,07/31/2017 01:33:00 PM,Francisco in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue,*Cheese,08/08/2017 12:54:00 PM,08/08/2017 12:54:00 PM,06/28/2017,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue,0.0
A696636,Minnie,06/04/2017 12:03:00 PM,06/04/2017 12:03:00 PM,904 Cougar Cove in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Brown/White,Minnie,06/06/2017 01:55:00 PM,06/06/2017 01:55:00 PM,02/09/2013,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Brown/White,0.0
A715707,Cookie,11/08/2015 02:46:00 PM,11/08/2015 02:46:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,1 year,Guinea Pig Mix,Brown,Cookie,11/09/2015 11:08:00 AM,11/09/2015 11:08:00 AM,11/08/2014,Other,Intact Female,1 year,Guinea Pig Mix,Brown,0.0
A730771,,07/10/2016 02:14:00 PM,07/10/2016 02:14:00 PM,12017 Amherst Drive in Austin (TX),Stray,Normal,Cat,Unknown,4 days,Domestic Shorthair Mix,Cream Tabby,,07/10/2016 06:51:00 PM,07/10/2016 06:51:00 PM,07/06/2016,Cat,Unknown,4 days,Domestic Shorthair Mix,Cream Tabby,0.0
A783818,,11/07/2018 09:02:00 AM,11/07/2018 09:02:00 AM,12234 N Ih 35 in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Black,,11/07/2018 09:59:00 AM,11/07/2018 09:59:00 AM,11/07/2017,Other,Unknown,1 year,Bat,Black,1.0
A719785,,01/27/2016 05:39:00 PM,01/27/2016 05:39:00 PM,8002 Sonnet Ave in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Siamese Mix,Blue Point,,02/18/2016 10:36:00 AM,02/18/2016 10:36:00 AM,01/27/2014,Cat,Intact Male,2 years,Siamese Mix,Blue Point,1.0
A765863,*Memphis,01/28/2018 05:22:00 PM,01/28/2018 05:22:00 PM,Barton Springs Road And Nature Center Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/Brown,*Memphis,02/06/2018 06:03:00 PM,02/06/2018 06:03:00 PM,01/28/2016,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/Brown,0.0
A769999,,04/14/2018 10:02:00 AM,04/14/2018 10:02:00 AM,4424 Frontier Trail Road in Austin (TX),Public Assist,Sick,Dog,Intact Female,1 month,Labrador Retriever Mix,White,,04/14/2018 11:50:00 AM,04/14/2018 11:50:00 AM,02/14/2018,Dog,Intact Female,1 month,Labrador Retriever Mix,White,0.0
A754129,Paris,09/07/2017 11:23:00 AM,09/07/2017 11:23:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie,Paris,10/14/2017 07:16:00 PM,10/14/2017 07:16:00 PM,07/16/2009,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie,0.0
